NumeroBALEmetteur;NumeroBALRecepteur;Standard;NumeroDocument;TypeDocumentCode;TypeDocumentCodeAgence;NumeroIdentificationDestinataire;NumeroIdentificationDestinataireAgence;DateHeureDocument;NatureInstructions;RolePartieCitee;IdentificationPartieCitee;IdentificationPartieCiteeAgence;NumeroArticleClient;NumeroCommande;FrequenceProgrammeCode;NumeroAvisExpedition;QuantiteRecue;UniteMesureQuantiteRecue;DateHeureReception;DateHeureCalculProgramme;NumeroArticleSupplementaire;CodeDescriptionArticle;CodeIdentificationPointDechargement;ReferenceDelforPrecedent;DateHeureReferenceDelforPrecedent;QuantiteALivrer;UniteMesureQuantiteALivrer;CodeRaisonLivraison;CodeStatutProgramme;DateHeureLivraisonAuPlusTot;DateHeureLivraisonAuPlusTard
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;;;20260527;10;BY;094007973780013;STLA EUROPE MELFI;;;;;;;;;;;;;;;;;;;
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;;;20260527;10;SE;0060952438870;5;;;;;;;;;;;;;;;;;;;
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;0060437618919153;5;20260527;10;CN;0060437618919153;5;9851142180;98446474;;;0;;;;9851142180;;ME M63;;;0;PCE;113;4;20260824;20260830
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;0060437618919153;5;20260527;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260601;20260601
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;0060437618919153;5;20260527;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260602;20260602
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;0060437618919153;5;20260527;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260603;20260603
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;0060437618919153;5;20260527;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260604;20260604
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;0060437618919153;5;20260527;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260605;20260605
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;0060437618919153;5;20260527;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260608;20260608
VDA4905;ECAR;EDIFACT;ME26052702100325;241;10;0060437618919153;5;20260527;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260609;20260609
