NumeroBALEmetteur;NumeroBALRecepteur;Standard;NumeroDocument;TypeDocumentCode;TypeDocumentCodeAgence;NumeroIdentificationDestinataire;NumeroIdentificationDestinataireAgence;DateHeureDocument;NatureInstructions;RolePartieCitee;IdentificationPartieCitee;IdentificationPartieCiteeAgence;NumeroArticleClient;NumeroCommande;FrequenceProgrammeCode;NumeroAvisExpedition;QuantiteRecue;UniteMesureQuantiteRecue;DateHeureReception;DateHeureCalculProgramme;NumeroArticleSupplementaire;CodeDescriptionArticle;CodeIdentificationPointDechargement;ReferenceDelforPrecedent;DateHeureReferenceDelforPrecedent;QuantiteALivrer;UniteMesureQuantiteALivrer;CodeRaisonLivraison;CodeStatutProgramme;DateHeureLivraisonAuPlusTot;DateHeureLivraisonAuPlusTard
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;;;20260709;10;BY;094007973780013;STLA EUROPE MELFI;;;;;;;;;;;;;;;;;;;
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;;;20260709;10;SE;0060952438870;5;;;;;;;;;;;;;;;;;;;
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9851142180;98446474;;;0;;;;9851142180;;ME M63;;;750;PCE;113;4;20261123;20261129
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9851142180;98446474;;;0;;;;9851142180;;ME M63;;;0;PCE;113;4;20270322;20270328
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260714;20260714
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;240;PCE;113;4;20260715;20260715
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;240;PCE;113;4;20260716;20260716
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;0;PCE;113;4;20260717;20260717
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;360;PCE;113;4;20260720;20260720
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;240;PCE;113;4;20260721;20260721
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;120;PCE;113;4;20260722;20260722
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;120;PCE;113;4;20260723;20260723
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;240;PCE;113;4;20260724;20260724
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;600;PCE;113;4;20260817;20260823
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;1080;PCE;113;4;20260824;20260830
